,name,glacier_id,surging
0,Austfonna-Basin3,G024340E79634N,1
1,Arnesenbreen,G018098E77802N,1
2,Nathorstbreen,G016633E77290N,1
3,Sonklarbreen,G020098E78757N,1
4,Markhambreen,G017096E77164N,1
5,Recherchebreen,G015037E77377N,1
6,MorsjnevStrongbreen,G017697E77678N,1
7,Kvalbreen,G018031E77579N,1
8,Ganskijbreen,G020757E78746N,1
9,Negribreen,G018042E78675N,1
10,Tunabreen,G017497E78572N,1
11,Osbornebreen,G013139E78668N,1
12,Monacobreen,G012697E79319N,1
13,Stonebreen,G023608E77828N,1
14,Penckbreen,G015616E77394N,1
15,Scheelebreen,G016964E77694N,1
16,Vallakrabreen,G017158E77876N,1
17,Liestolbreen,G016915E77433N,1
18,Svalisbreen,G016777E76955N,1
19,Midtbreen,G016346E79525N,1
20,Bakaninbreen,G017525E77773N,0
21,Andrebreen,G011158E79339N,0
22,Mayerbreen,G012572E79241N,0
23,Kollerbreen,G012352E79323N,0
24,Elnabreen,G014132E79125N,0
25,Sjettebreen,G011294E79478N,0
26,Karlsbreen,G013347E79296N,0
27,FjortendeJulibreen,G012363E79148N,0
28,Holmstrombreen,G013749E78857N,0
29,Lisbetbreen,G014909E79069N,0
30,VonPostbreen,G017824E78480N,0
31,VestreTorrellbreen,G015026E77342N,0
32,Steenstrupbreen,G016290E77607N,0
33,Inglefieldbreen,G017911E77804N,0
34,Andrinebreen,G018010E77975N,0
35,Jinnbreen,G017562E78141N,0
36,Hinlopenbreen,G018391E78924N,0
37,Oslobreen,G018173E79037N,0
38,Tryggvebreen,G016733E79123N,0
39,Marsjobreen,G022215E77928N,0
40,Kvitisen,G021454E78071N,0
41,Duckwitzbreen,G021120E78374N,0
42,Freemanbreen,G021590E78354N,0
43,VegafonnaMariebreen,G021009E79425N,0
44,Usherbreen,G018580E78256N,0
45,Nordmannsfonna,G018296E78282N,0
46,Hockstatterbreen,G019758E78902N,0
47,Tommelbreen,G018473E79506N,0
48,Svitdjodbreen,G011686E79700N,0
49,Kuhrbreen,G021849E77617N,0
50,Vitkovskibreen,G016292E76781N,0
51,Slakbreen,G016584E77967N,0
52,Dunerbreen,G016909E79728N,0
53,Morabreen,G014184E78936N,0
54,Forstebreen,G011244E79295N,0
55,Waggonwaybreen,G011437E79514N,0
56,Smerenburgbreen,G011600E79552N,0
57,Chauveaubreen,G011912E79647N,0
58,Raudfjordbreen,G012020E79575N,0
